barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason,macro_sum_off_raw
2312,Tester,cadburies,cadburies,cereals,"en:breakfast-cereals, en:meats",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/000/000/2312/front_en.3.400.jpg,2121.0,,2321.0,,31.231,31.231,2312.0,,0.0002,0.0002,23.123,23.123,213.0,,0.1,0.1,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|nutrient_value_above_100g,4846.0
1000827721,Mochi pistache,,unknown,snacks,"Snacks, Desserts, Snacks sucrés, Surgelés, Biscuits et gâteaux, Desserts glacés, Pâtisseries, Mochi",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/100/082/7721/front_fr.3.400.jpg,253.0,253.0,5.0,5.0,5.0,5.0,4.0,4.0,51.0,,0.393590513392858,0.393590513392858,2.0,2.0,0.5,0.5,data_quality_error,data_quality_error,False,False,False,sugars_greater_than_carbohydrates,11.0
8274000078,Extra Ginger Beer,reed's,reed's,beverages,"Plant-based foods and beverages, Beverages, Plant-based beverages, Carbonated drinks, Fruit-based beverages, Sodas, Fruit sodas, Sodas with exotic fruits, Sweetened beverages",en:france|en:united-states|en:world,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/000/827/400/0078/front_en.22.400.jpg,39.4366197183099,39.4366197183099,0.0,0.0,0.003076171875,,10.1408450704225,10.1408450704225,9.85915492957746,9.85915492957746,0.31171875,0.31171875,0.0,0.0,0.0035211267605633,0.0035211267605633,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,10.1408450704225
8274000139,All natural caribbean style ginger beer,,unknown,beverages,"Beverages, Carbonated drinks, Sodas",en:france|en:united-states,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/000/827/400/0139/front_fr.4.400.jpg,15.0,15.0,0.0,0.0,0.01,,20.1,20.1,3.94,3.94,0.51953125,0.51953125,0.0,0.0,0.001,0.001,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,20.1
88824,foam lobsters,marks & spencer,marks & spencer,snacks,"Snacks, Sweet snacks, Confectioneries, Candies, Gummi candies",en:czech-republic|en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/000/008/8824/front_en.23.400.jpg,351.0,351.0,0.1,0.1,1.0,,89.9,89.9,74.6,74.6,0.5,0.5,2.8,2.8,0.03,0.03,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,92.8
9542031695,DARK CHOCOLATE,lindt,lindt,snacks,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Chocolates, Dark chocolates",en:france|en:switzerland|en:united-states,FRANCE|DACH|US_CANADA,https://images.openfoodfacts.org/images/products/000/954/203/1695/front_en.22.400.jpg,566.666666666667,566.666666666667,46.6666666666667,,30.0,30.0,63.3333333333333,,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,10.0,,0.0,0.0,data_quality_error,data_quality_error,False,False,False,macros_exceed_100g,120.0
9800560202,Kinderini Cookies,kinder,kinder,snacks,en:cookies,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/980/056/0202/front_en.18.400.jpg,480.0,480.0,96.0,96.0,48.0,48.0,272.0,,112.0,,16.0,16.0,32.0,32.0,1.4,1.4,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g,400.0
11110002716,Diet black cherry soda,"big k, the kroger co.",big k,beverages,"Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Diet sodas",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/000/2716/front_en.6.400.jpg,0.0,0.0,0.0,0.0,3.57142857142857,,0.0,0.0,0.0,0.0,3.57142857142857,3.57142857142857,0.0,0.0,0.0175,0.0175,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,0.0
11110100818,Sweet Cream Butter Unsalted,kroger,kroger,dairies,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Unsalted butters",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/010/0818/front_en.16.400.jpg,714.285714285714,714.285714285714,78.5714285714286,78.5714285714286,50.0,50.0,0.0,0.0,2.70075,,1.35525,1.35525,0.0,0.0,0.078,0.078,data_quality_error,data_quality_error,False,False,False,sugars_greater_than_carbohydrates,78.5714285714286
11110109941,Original White Rounds Tortilla Chips,kroger,kroger,snacks,en:corn-chips,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/010/9941/front_en.17.400.jpg,500.0,500.0,21.4285714285714,21.4285714285714,67.8571428571429,,67.8571428571429,67.8571428571429,0.0,0.0,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,0.982142857142857,0.982142857142857,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat,96.42857142857144
