barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason,protein_g_per_100kcal_off_raw,carbs_g_per_100kcal_off_raw,fat_g_per_100kcal_off_raw
102081301,Coca cola,coca-cola,coca-cola,beverages,"Boissons, Boissons gazeuses, Sodas, Sodas au cola",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/010/208/1301/front_fr.3.400.jpg,42.0,42.0,27.0,,0.0,0.0,10.6,10.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,0.0,25.238095238095237,64.28571428571429
1000322695,Croissant,,unknown,snacks,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Croissants,Croissants au beurre",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/100/032/2695/front_fr.3.400.jpg,30.0,30.0,24.0,,15.0,15.0,45.0,,5.4,5.4,2.4,2.4,8.8,,1.2,1.2,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,29.333333333333332,150.0,80.0
1000961574,Gocciole extra dark,pavesi,pavesi,snacks,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/100/096/1574/front_fr.3.400.jpg,202.0,202.0,21.7,21.7,8.0,8.0,62.7,,22.4,22.4,4.3,4.3,7.4,7.4,0.9,0.9,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,3.663366336633664,31.03960396039604,10.742574257425742
1001218326,Ricola,ricola,ricola,snacks,"Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons durs",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/100/121/8326/front_fr.3.400.jpg,236.0,236.0,0.0,0.0,0.0,0.0,97.0,,0.0,0.0,,,0.0,0.0,,,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,0.0,41.10169491525424,0.0
26970,Basil Pesto Marinated Italian Mozzarella,m&s food,m&s food,dairies,"Marinated pesto mozzarella, en:cheeses",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/000/000/002/6970/front_en.3.400.jpg,149.411764705882,149.411764705882,23.1,,11.7,11.7,1.1,1.1,0.2,0.2,1.2,1.2,16.9,16.9,0.001575,0.001575,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,11.31102362204727,0.7362204724409466,15.46062992125988
4500046865,Fruit & Nut Dark Chocolate,sainsbury's,sainsbury's,snacks,en:dark-chocolates,en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/000/450/004/6865/front_en.3.400.jpg,231.9425,231.9425,45.812,,0.4903,0.4903,40.862459375,40.862459375,39.8598,39.8598,1.845,1.845,2.894546875,2.894546875,0.009173875,0.009173875,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,1.2479588152236007,17.617495446069608,19.751447018118714
56434,,,unknown,beverages,"Boissons,Boissons gazeuses,Boissons édulcorées,Sodas,Limonades,Limonade non sucrée avec édulcorants",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/000/005/6434/front_fr.15.400.jpg,3.0,3.0,1.0,,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,16.666666666666664,16.666666666666664,33.33333333333333
74034,Chocolat noisettes,cofféa,coffea,snacks,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats au lait,Chocolats aux noisettes,Chocolats au lait aux noisettes",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/000/007/4034/front_fr.4.400.jpg,255.6925,255.6925,41.451,,1.27125,1.27125,52.53015,52.53015,52.43975,52.43975,0.464,0.464,2.2885,2.2885,0.059202,0.059202,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,0.8950203858149927,20.54426703951035,16.211269395856352
8274000139,All natural caribbean style ginger beer,,unknown,beverages,"Beverages, Carbonated drinks, Sodas",en:france|en:united-states,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/000/827/400/0139/front_fr.4.400.jpg,15.0,15.0,0.0,0.0,0.01,,20.1,,3.94,3.94,0.51953125,0.51953125,0.0,0.0,0.001,0.001,data_quality_error,data_quality_error,False,False,False,saturated_fat_greater_than_fat|nutrient_density_exceeds_energy_limit,0.0,134.0,0.0
9800560202,Kinderini Cookies,kinder,kinder,snacks,en:cookies,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/980/056/0202/front_en.18.400.jpg,480.0,480.0,96.0,,48.0,48.0,272.0,,112.0,,16.0,16.0,32.0,32.0,1.4,1.4,data_quality_error,data_quality_error,False,False,False,nutrient_value_above_100g|nutrient_density_exceeds_energy_limit,6.666666666666667,56.666666666666664,20.0
9899364996,,,unknown,cereals,Rolled oats,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/989/936/4996/front_en.3.400.jpg,170.0,170.0,3.0,3.0,0.5,0.5,57.9,,0.0,0.0,5.0,5.0,6.0,6.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,3.5294117647058822,34.05882352941176,1.7647058823529411
99202,Yogurt coated rice cakes,m&s,m&s,snacks,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés",en:france|en:united-kingdom,FRANCE|UK_IE,https://images.openfoodfacts.org/images/products/000/000/009/9202/front_fr.4.400.jpg,165.0,165.0,19.8,19.8,15.7,15.7,70.8,,31.7,31.7,0.6,0.6,5.4,5.4,0.08,0.08,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,3.272727272727273,42.90909090909091,12.000000000000002
10700702807,"ZERO SUGAR ORIGINAL Apple, Raspberry, Grape, & Watermelon",jolly rancher,jolly rancher,snacks,"Snacks, Sweet snacks, Confectioneries, Candies, Hard candies",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/070/070/2807/front_en.20.400.jpg,218.75,218.75,0.0,0.0,0.0,0.0,93.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,0.0,42.857142857142854,0.0
10700859280,Jolly Rancher Hard Candy Zero Sugar Tropical,jolly rancher,jolly rancher,snacks,en:hard-candy,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/070/085/9280/front_en.3.400.jpg,218.75,218.75,0.0,0.0,0.0,0.0,93.75,,93.75,93.75,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,0.0,42.857142857142854,0.0
11110028174,Plain Nonfat Yogurt,kroger,kroger,dairies,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/002/8174/front_en.17.400.jpg,17.636684303351,17.636684303351,0.0,0.0,0.0,0.0,7.0,,,,0.0,0.0,17.0,,0.152941176470588,0.152941176470588,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,96.38999999999983,39.689999999999934,0.0
11110097002,Gourmet Cracker Cuts Sliced Cheese Variety Pack,private selection,private selection,dairies,en:cheeses,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/009/7002/front_en.3.400.jpg,178.571428571429,178.571428571429,28.571428571429,,17.857142857143,17.857142857143,0.0,0.0,0.0,0.0,,,25.0,25.0,1.6071428571429,1.6071428571429,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,13.999999999999964,0.0,16.0000000000002
11110107176,Greek Nonfat Yogurt Plain,kroger,kroger,dairies,Yogurt Greek-style ewe's milk,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/010/7176/front_en.44.400.jpg,58.8235294117647,58.8235294117647,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,17.0,,0.15,0.15,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,28.900000000000002,11.9,0.0
11110357960,Low Sodium Rice Cakes,kroger,kroger,snacks,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes,Rice-cakes",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/111/035/7960/front_en.22.400.jpg,250.0,250.0,0.0,0.0,0.0,0.0,80.0,,0.0,0.0,0.0,0.0,10.0,10.0,3.75,3.75,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,4.0,32.0,0.0
115759,Greek Style Yogurt,m&s food,m&s food,dairies,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/000/000/011/5759/front_en.20.400.jpg,70.5882352941177,70.5882352941177,0.6,0.6,,,20.9,,,,,,7.8,7.8,,,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,11.049999999999992,29.60833333333331,0.8499999999999994
12000034015,Brisk Iced Tea + Lemonade Half & Half,brisk,brisk,beverages,"Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Tea-based beverages, Iced teas, Lemonade",en:france|en:united-states,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/001/200/003/4015/front_en.14.400.jpg,17.0,17.0,0.0,0.0,0.0,0.0,4.79,,4.51,4.51,,,0.0,0.0,0.085,0.085,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit,0.0,28.17647058823529,0.0
